51.52623,-0.10136
51.52438,-0.10313
51.55039,-0.09779
51.5334,-0.09842
51.52649,-0.0986
51.52468,-0.09696
51.52438,-0.09563
51.51516,-0.09688
51.5259,-0.10031
51.51577,-0.10241
51.52425,-0.09389
51.54734,-0.0965
51.51336,-0.1006
51.5312,-0.10255
51.51513,-0.09935
51.52849,-0.0958
51.52852,-0.10275
51.54431,-0.10151
51.51315,-0.10348
51.53281,-0.10036
51.52038,-0.10053
51.51758,-0.1025
51.51523,-0.1029
51.54661,-0.0958
51.55016,-0.10294
51.53141,-0.09806
51.54797,-0.09604
51.54223,-0.09678
51.53622,-0.10341
51.54451,-0.09745
51.54302,-0.09446
51.53377,-0.09421
51.53157,-0.09442
51.54868,-0.10179
51.55057,-0.09514
51.54577,-0.09369
51.55017,-0.10162
51.54227,-0.09655
51.5273,-0.09436
51.51551,-0.09965
51.52828,-0.10179
51.53602,-0.10169
51.54941,-0.09898
51.52925,-0.09896
51.54801,-0.10337
51.53618,-0.09664
51.53693,-0.09437
51.53929,-0.09575
51.52041,-0.10322
51.52215,-0.10283
51.52385,-0.09426
51.55058,-0.10083
51.54124,-0.09932
51.5322,-0.09664
51.5463,-0.09507
51.53655,-0.09768
51.52922,-0.09541
51.5445,-0.09537
51.52704,-0.10361
51.53282,-0.10134
51.53813,-0.09439
51.53053,-0.10131
51.54106,-0.09808
51.54592,-0.10038
51.52619,-0.10063
51.51978,-0.09879
51.5218,-0.09617
51.55072,-0.09431
51.52484,-0.09576
51.53065,-0.09399
51.51196,-0.10302
51.54002,-0.10181
51.5315,-0.10194
51.53646,-0.09968
51.52793,-0.09495
51.51285,-0.09802
51.53369,-0.10083
51.53345,-0.09938
51.52737,-0.09947
51.54963,-0.10057
51.51564,-0.09837
51.53642,-0.09489
51.55,-0.09699
51.53823,-0.09822
51.53321,-0.09808
51.52902,-0.10127
51.51962,-0.09371
51.53066,-0.09929
51.5237,-0.09534
51.51661,-0.09412
51.52367,-0.09418
51.54206,-0.10181
51.51585,-0.10311
51.53987,-0.10134
51.54751,-0.0937
51.51518,-0.09913
51.54304,-0.10149
51.53728,-0.09922
51.52404,-0.09875
51.53611,-0.10262
51.535,-0.10311
51.54608,-0.09829
51.52526,-0.10326
51.51699,-0.10319
51.54765,-0.10331
51.52957,-0.09944
51.54981,-0.10357
